payment_id,requested_at,organization_id,wallet_id,agent_id,agent_type,flow_type,use_case,counterparty_id,counterparty_type,county,town,rail,amount_kes,fee_kes,status,human_approval_required,risk_score,risk_reason,authorization_latency_ms,policy_version,wallet_balance_before_kes,wallet_balance_after_kes,invoice_id,decision_model
APY0000022,2026-02-16 13:22:51,ORG0076,WAL012,AGT0125,logistics_agent,A2C,Agritech produce purchase,CP0114,Sacco,Mombasa,Changamwe,M-Pesa Till,3060.84,17.94,Completed,False,0.226,none,607,5,167716.44,164637.66,INV-82544,apm-kenya-v1
APY0000023,2026-05-16 10:47:35,ORG0076,WAL025,AGT0155,procurement_agent,A2B,Agritech produce purchase,CP0117,Sacco,Mombasa,Mtwapa,M-Pesa B2C,4518.68,62.75,Completed,False,0.293,none,1410,5,150743.62,146162.19,INV-15965,apm-kenya-v1
APY0000024,2026-01-14 14:44:08,ORG0064,WAL011,AGT0214,finance_ops_agent,A2B,Property maintenance,CP0061,School,Kisumu,Kondele,M-Pesa Till,2778.39,13.75,Completed,True,0.289,none,737,5,227648.48,224856.34,INV-78494,apm-kenya-v2
APY0000025,2026-04-08 12:28:19,ORG0180,WAL037,AGT0120,logistics_agent,A2B,Freelance data labelling,CP0233,Clinic,Meru,Maua,M-Pesa B2C,7351.84,45.83,Completed,False,0.071,none,1126,5,37760.11,30362.44,INV-35928,apm-kenya-v2
APY0000026,2026-04-19 07:14:41,ORG0154,WAL011,AGT0166,finance_ops_agent,A2A,SME invoice settlement,CP0021,Consumer,Nairobi,Upper Hill,M-Pesa B2C,21914.02,366.82,Completed,False,0.205,none,1026,1,356874.93,334594.09,INV-98381,apm-kenya-v2
APY0000027,2026-05-28 14:01:48,ORG0178,WAL053,AGT0206,farm_supply_agent,A2B,Market restocking,CP0254,Clinic,Uasin Gishu,Moi Bridge,M-Pesa Till,30415.75,149.15,Completed,False,0.073,none,472,5,122404.94,91840.04,INV-21542,apm-kenya-v2
APY0000028,2026-03-22 09:07:49,ORG0008,WAL016,AGT0123,travel_agent,A2A,Construction contractor,CP0323,Contractor,Kiambu,Thika,M-Pesa Till,2317.67,23.12,Completed,False,0.071,none,646,3,247459.95,245119.16,INV-82384,apm-kenya-v2
APY0000029,2026-04-15 06:53:58,ORG0130,WAL044,AGT0145,travel_agent,A2A,Market restocking,CP0137,Consumer,Nairobi,Westlands,M-Pesa Till,5257.72,33.52,Completed,False,0.144,none,1397,5,330014.29,324723.05,INV-96499,apm-kenya-v2
APY0000030,2026-05-06 18:28:34,ORG0037,WAL002,AGT0080,procurement_agent,A2B,Construction contractor,CP0210,Agent Service,Nakuru,Gilgil,M-Pesa PayBill,2302.94,16.33,Completed,False,0.388,none,120,3,349663.86,347344.59,INV-62098,apm-kenya-v2
APY0000031,2026-06-16 06:21:54,ORG0012,WAL004,AGT0151,logistics_agent,A2B,Clinic supplies,CP0167,Consumer,Uasin Gishu,Burnt Forest,Airtel Money,19094.99,226.84,Completed,False,0.09,none,1916,4,320495.95,301174.12,INV-79621,apm-kenya-v2
APY0000032,2026-04-16 14:50:11,ORG0151,WAL045,AGT0218,travel_agent,A2B,School fee payment,CP0154,Consumer,Nairobi,Westlands,Airtel Money,1271.37,7.71,Completed,False,0.01,none,3009,4,259186.09,257907.01,,apm-kenya-v2
APY0000033,2026-02-20 23:54:30,ORG0049,WAL082,AGT0071,travel_agent,A2B,Freelance data labelling,CP0318,Merchant,Nairobi,Industrial Area,M-Pesa PayBill,6019.88,12.82,Completed,False,0.314,none,1301,1,107744.45,101711.75,INV-67779,apm-kenya-v1
APY0000034,2026-01-09 14:46:08,ORG0120,WAL015,AGT0116,farm_supply_agent,A2B,School fee payment,CP0039,Sacco,Nairobi,Upper Hill,M-Pesa B2C,1066.84,18.72,Completed,False,0.121,none,444,4,64895.24,63809.68,,apm-kenya-v2
APY0000035,2026-07-25 14:05:50,ORG0167,WAL039,AGT0024,procurement_agent,A2B,Tour booking,CP0210,Consumer,Kiambu,Kikuyu,M-Pesa PayBill,4601.91,37.26,Completed,False,0.173,none,682,4,55503.62,50864.45,INV-40775,apm-kenya-v2
APY0000036,2026-05-18 07:29:23,ORG0026,WAL047,AGT0184,procurement_agent,A2A,Construction contractor,CP0352,Agent Service,Uasin Gishu,Burnt Forest,M-Pesa PayBill,9504.77,34.07,Completed,False,0.326,none,642,3,153260.63,143721.79,INV-26011,apm-kenya-v1
APY0000037,2026-07-30 12:42:13,ORG0034,WAL019,AGT0090,procurement_agent,A2C,Property maintenance,CP0277,Sacco,Uasin Gishu,Burnt Forest,PesaLink,2043.73,40.55,Failed,False,0.125,limit_exceeded,3037,1,107755.14,107755.14,INV-56955,apm-kenya-v2
APY0000038,2026-07-22 17:37:20,ORG0008,WAL083,AGT0206,marketplace_agent,A2B,School fee payment,CP0032,Sacco,Nairobi,Upper Hill,M-Pesa Till,5450.69,78.75,Completed,False,0.051,none,1148,1,399448.83,393919.39,INV-68138,apm-kenya-v2
APY0000039,2026-01-19 18:20:38,ORG0087,WAL053,AGT0049,logistics_agent,A2B,Freelance data labelling,CP0233,Agent Service,Nairobi,Kilimani,M-Pesa Till,3203.4,37.44,Completed,False,0.219,none,1342,3,165504.77,162263.93,INV-59060,apm-kenya-v1
APY0000040,2026-02-09 15:30:04,ORG0074,WAL007,AGT0054,finance_ops_agent,A2B,SME invoice settlement,CP0308,School,Nairobi,Westlands,PesaLink,3955.51,86.45,Completed,False,0.186,none,2526,2,131855.07,127813.11,INV-73201,rules_engine_only
APY0000041,2026-02-27 17:22:54,ORG0090,WAL044,AGT0074,finance_ops_agent,A2A,Freelance data labelling,CP0004,Sacco,Nakuru,Naivasha,M-Pesa B2C,2421.77,34.58,Completed,False,0.207,none,521,4,80748.17,78291.82,INV-92991,apm-kenya-v2
APY0000042,2026-01-08 06:33:13,ORG0030,WAL066,AGT0146,travel_agent,A2B,Clinic supplies,CP0177,Sacco,Kiambu,Limuru,M-Pesa PayBill,15201.26,213.9,Completed,True,0.243,none,536,5,177666.32,162251.16,INV-97442,apm-kenya-v1
APY0000043,2026-03-20 05:25:38,ORG0112,WAL006,AGT0040,farm_supply_agent,A2B,Logistics delivery,CP0010,Consumer,Nairobi,Kilimani,PesaLink,4809.43,36.85,Completed,False,0.202,none,951,5,189304.16,184457.88,INV-63008,apm-kenya-v2
APY0000044,2026-07-01 15:18:07,ORG0044,WAL043,AGT0059,finance_ops_agent,A2B,Freelance data labelling,CP0040,School,Kiambu,Kikuyu,M-Pesa Till,4369.03,39.27,Completed,False,0.289,none,906,2,209088.48,204680.18,,apm-kenya-v1
APY0000045,2026-03-31 10:52:41,ORG0083,WAL080,AGT0226,procurement_agent,A2B,Agritech produce purchase,CP0322,Agent Service,Kajiado,Kitengela,M-Pesa B2C,5163.95,64.49,Completed,False,0.335,none,1166,4,133294.17,128065.73,INV-46002,rules_engine_only
APY0000046,2026-06-01 05:32:04,ORG0122,WAL078,AGT0032,marketplace_agent,A2B,Clinic supplies,CP0257,Merchant,Mombasa,Mtwapa,Bank EFT,23084.33,235.07,Completed,False,0.363,none,3035,3,68835.82,45516.42,,apm-kenya-v2
APY0000047,2026-01-22 13:11:02,ORG0155,WAL085,AGT0073,logistics_agent,A2C,Construction contractor,CP0077,Consumer,Nairobi,Industrial Area,M-Pesa Till,2932.04,25.04,Completed,False,0.389,none,650,4,140011.19,137054.11,INV-21104,rules_engine_only
APY0000048,2026-03-21 14:41:50,ORG0130,WAL013,AGT0020,travel_agent,A2A,Construction contractor,CP0395,Consumer,Mombasa,Likoni,M-Pesa B2C,7130.41,49.5,Completed,False,0.199,none,1301,5,220510.6,213330.69,INV-59377,apm-kenya-v2
APY0000049,2026-02-09 08:53:44,ORG0147,WAL087,AGT0145,farm_supply_agent,A2A,Property maintenance,CP0226,Agent Service,Machakos,Athi River,M-Pesa PayBill,4014.26,36.56,Completed,False,0.157,none,773,5,190055.19,186004.37,INV-31241,apm-kenya-v2
APY0000050,2026-07-29 08:38:08,ORG0129,WAL051,AGT0042,logistics_agent,A2A,Clinic supplies,CP0192,Contractor,Meru,Meru Town,M-Pesa Till,15687.75,99.85,Completed,False,0.087,none,1467,1,101953.45,86165.85,INV-22987,apm-kenya-v1
APY0000051,2026-07-02 15:50:09,ORG0078,WAL031,AGT0215,travel_agent,A2C,Tour booking,CP0063,Clinic,Nairobi,Upper Hill,PesaLink,615.06,23.64,Completed,False,0.331,none,2124,5,28622.28,27983.58,INV-24530,apm-kenya-v2
APY0000052,2026-05-08 14:01:40,ORG0006,WAL071,AGT0023,travel_agent,A2A,Agritech produce purchase,CP0200,Agent Service,Nakuru,Naivasha,M-Pesa PayBill,3621.02,31.38,Completed,False,0.111,none,904,3,350599.26,346946.86,INV-12128,rules_engine_only
APY0000053,2026-04-02 17:22:15,ORG0076,WAL005,AGT0103,procurement_agent,A2B,Freelance data labelling,CP0104,Consumer,Machakos,Mlolongo,PesaLink,2379.19,43.54,Completed,False,0.167,none,1992,3,27084.45,24661.72,INV-81176,apm-kenya-v2
APY0000054,2026-05-02 09:48:41,ORG0133,WAL048,AGT0218,procurement_agent,A2A,Property maintenance,CP0137,Agent Service,Nairobi,Upper Hill,Bank EFT,2328.55,36.37,Completed,False,0.342,none,1342,5,322447.75,320082.83,,apm-kenya-v2
APY0000055,2026-02-16 14:20:06,ORG0041,WAL087,AGT0225,procurement_agent,A2B,Freelance data labelling,CP0016,Contractor,Nairobi,Upper Hill,PesaLink,1378.44,30.62,Completed,False,0.152,none,1544,1,65683.99,64274.93,INV-94562,rules_engine_only
APY0000056,2026-04-04 11:36:02,ORG0068,WAL016,AGT0229,property_manager_agent,A2B,Clinic supplies,CP0397,School,Kisumu,Maseno,M-Pesa PayBill,15834.56,132.51,Completed,False,0.092,none,137,3,111513.01,95545.94,INV-74382,rules_engine_only
APY0000057,2026-02-21 07:54:04,ORG0007,WAL064,AGT0189,marketplace_agent,A2C,Clinic supplies,CP0185,Clinic,Kiambu,Limuru,Airtel Money,10819.09,73.56,Completed,False,0.123,none,2490,5,226068.36,215175.71,INV-21300,apm-kenya-v1
APY0000058,2026-01-17 10:45:46,ORG0133,WAL016,AGT0083,logistics_agent,A2A,Freelance data labelling,CP0079,Sacco,Nakuru,Gilgil,M-Pesa B2C,2437.65,18.31,Completed,False,0.434,none,1360,2,128608.57,126152.61,INV-78012,apm-kenya-v1
APY0000059,2026-03-14 17:16:12,ORG0075,WAL070,AGT0248,property_manager_agent,A2B,Agritech produce purchase,CP0329,Clinic,Kisumu,Maseno,Airtel Money,694.3,7.96,Completed,False,0.114,none,1371,4,383093.57,382391.31,INV-19564,rules_engine_only
APY0000060,2026-06-26 06:28:26,ORG0064,WAL058,AGT0149,marketplace_agent,A2B,Market restocking,CP0073,Clinic,Nakuru,Naivasha,M-Pesa PayBill,8578.53,135.3,Completed,False,0.073,none,795,5,47756.54,39042.71,INV-30932,apm-kenya-v2
APY0000061,2026-07-28 10:36:46,ORG0003,WAL069,AGT0136,travel_agent,A2B,Construction contractor,CP0056,Consumer,Mombasa,Likoni,M-Pesa Till,13003.98,107.83,Completed,False,0.039,none,649,4,178061.83,164950.02,INV-62505,apm-kenya-v2
APY0000062,2026-01-14 14:12:23,ORG0129,WAL052,AGT0071,travel_agent,A2B,Tour booking,CP0021,Consumer,Nakuru,Naivasha,PesaLink,3879.28,86.28,Completed,False,0.213,none,1957,4,27668.31,23702.75,INV-29521,rules_engine_only
APY0000063,2026-06-05 18:08:20,ORG0007,WAL081,AGT0117,travel_agent,A2B,Freelance data labelling,CP0306,Merchant,Nyeri,Othaya,PesaLink,2019.8,48.81,Completed,False,0.258,none,569,5,195090.18,193021.57,INV-78712,rules_engine_only
APY0000064,2026-06-11 16:49:53,ORG0144,WAL027,AGT0245,finance_ops_agent,A2B,SME invoice settlement,CP0167,Agent Service,Kiambu,Ruiru,M-Pesa B2C,5760.96,30.32,Completed,False,0.172,none,789,3,399267.92,393476.64,,rules_engine_only
APY0000065,2026-04-28 19:21:34,ORG0032,WAL037,AGT0195,marketplace_agent,A2B,Logistics delivery,CP0294,Clinic,Kiambu,Kikuyu,Stablecoin USDC,1987.57,33.92,Failed,False,0.288,unusual_county,74,3,273882.68,273882.68,,apm-kenya-v2
APY0000066,2026-07-25 08:02:18,ORG0014,WAL030,AGT0242,procurement_agent,A2B,Tour booking,CP0052,Sacco,Kakamega,Kakamega Town,Airtel Money,4468.8,68.14,Failed,False,0.091,new_counterparty,1663,2,171187.53,171187.53,INV-82135,rules_engine_only
APY0000067,2026-02-10 11:59:56,ORG0102,WAL005,AGT0149,procurement_agent,A2A,Agritech produce purchase,CP0404,Merchant,Meru,Maua,M-Pesa PayBill,22903.07,78.59,Completed,False,0.119,none,1345,3,203199.72,180218.06,INV-24064,apm-kenya-v1
APY0000068,2026-03-27 09:41:34,ORG0110,WAL052,AGT0206,travel_agent,A2A,Tour booking,CP0264,Merchant,Nakuru,Naivasha,M-Pesa PayBill,5397.24,73.93,Completed,True,0.303,none,567,2,137891.4,132420.23,,rules_engine_only
APY0000069,2026-05-03 10:15:00,ORG0031,WAL089,AGT0152,logistics_agent,A2B,Agritech produce purchase,CP0328,School,Mombasa,Likoni,Stablecoin USDC,1188.49,5,Failed,True,0.26,unusual_county,53,2,367290.85,367290.85,INV-27507,apm-kenya-v2
APY0000070,2026-05-03 08:47:38,ORG0043,WAL020,AGT0227,procurement_agent,A2A,Logistics delivery,CP0168,Sacco,Kiambu,Limuru,PesaLink,5292.7,95.26,Completed,False,0.151,none,789,2,343249.54,337861.58,INV-74071,rules_engine_only
APY0000071,2026-01-24 18:28:51,ORG0121,WAL009,AGT0093,farm_supply_agent,A2B,Tour booking,CP0017,Contractor,Nairobi,Kilimani,M-Pesa Till,3756.28,26.03,Completed,True,0.295,none,1165,4,121965.38,118183.07,INV-60132,apm-kenya-v1
APY0000072,2026-04-25 18:58:24,ORG0064,WAL030,AGT0142,property_manager_agent,A2A,Clinic supplies,CP0236,Sacco,Kiambu,Ruiru,M-Pesa B2C,14545.83,256.87,Completed,False,0.333,none,936,1,145002.3,130199.6,INV-96533,apm-kenya-v2
APY0000073,2026-04-18 14:59:56,ORG0082,WAL074,AGT0165,property_manager_agent,A2B,SME invoice settlement,CP0296,Consumer,Meru,Meru Town,M-Pesa Till,7206.5,42.63,Completed,False,0.433,none,1261,2,243187.89,235938.76,,rules_engine_only
APY0000074,2026-05-14 09:19:17,ORG0138,WAL024,AGT0116,logistics_agent,A2C,Market restocking,CP0243,Clinic,Nairobi,Karen,Airtel Money,2475.73,43.47,Completed,False,0.315,none,2036,2,103977.59,101458.39,,apm-kenya-v2
APY0000075,2026-01-15 14:26:35,ORG0054,WAL062,AGT0008,property_manager_agent,A2B,Logistics delivery,CP0171,Contractor,Nakuru,Gilgil,M-Pesa PayBill,1113.96,8.84,Completed,True,0.295,none,258,1,128243.33,127120.53,,apm-kenya-v1
APY0000076,2026-07-13 13:15:44,ORG0095,WAL027,AGT0114,travel_agent,A2B,Logistics delivery,CP0161,Contractor,Kisumu,Milimani,M-Pesa Till,5283.62,55.68,Flagged,False,0.121,duplicate_request,753,1,171432.77,171432.77,INV-86550,apm-kenya-v2
APY0000077,2026-05-29 16:18:09,ORG0139,WAL024,AGT0018,farm_supply_agent,A2B,Logistics delivery,CP0329,Clinic,Nairobi,Kilimani,M-Pesa Till,5603.81,34.28,Completed,False,0.147,none,1296,1,383322.39,377684.3,,apm-kenya-v2
APY0000078,2026-06-21 05:00:26,ORG0136,WAL003,AGT0147,procurement_agent,A2B,Market restocking,CP0370,School,Nairobi,Kilimani,M-Pesa B2C,3016.25,35.85,Completed,False,0.25,none,120,4,117148.89,114096.79,,apm-kenya-v1
APY0000079,2026-02-15 07:06:33,ORG0104,WAL012,AGT0244,procurement_agent,A2B,Agritech produce purchase,CP0195,Sacco,Nairobi,Kilimani,Bank EFT,1814.59,32.46,Completed,False,0.073,none,942,1,157096.13,155249.08,INV-20837,apm-kenya-v1
APY0000080,2026-05-08 17:41:50,ORG0151,WAL027,AGT0204,procurement_agent,A2C,Property maintenance,CP0074,Consumer,Mombasa,Nyali,M-Pesa B2C,3353.92,56.3,Completed,False,0.109,none,1151,2,303379.24,299969.02,INV-84277,apm-kenya-v1
APY0000081,2026-04-10 15:34:21,ORG0170,WAL075,AGT0152,farm_supply_agent,A2A,SME invoice settlement,CP0195,Contractor,Kiambu,Ruiru,M-Pesa Till,3752.36,53.67,Completed,False,0.037,none,1237,1,43420.71,39614.68,INV-30214,rules_engine_only
APY0000082,2026-04-08 16:40:09,ORG0154,WAL077,AGT0198,procurement_agent,A2B,SME invoice settlement,CP0402,Consumer,Machakos,Machakos Town,M-Pesa B2C,3971.2,16.36,Completed,False,0.196,none,801,4,136527.83,132540.27,INV-21101,apm-kenya-v1
APY0000083,2026-07-05 18:57:15,ORG0028,WAL059,AGT0203,logistics_agent,A2A,Market restocking,CP0070,Clinic,Kisumu,Milimani,M-Pesa B2C,1799.38,5.42,Completed,False,0.074,none,564,5,128816.62,127011.82,INV-53193,apm-kenya-v1
APY0000084,2026-04-23 10:52:52,ORG0145,WAL015,AGT0093,travel_agent,A2B,Clinic supplies,CP0103,Clinic,Kajiado,Kiserian,M-Pesa Till,8700.93,72.84,Completed,False,0.352,none,1046,5,240968.54,232194.77,INV-70505,apm-kenya-v2
APY0000085,2026-07-01 08:51:18,ORG0140,WAL054,AGT0185,travel_agent,A2A,School fee payment,CP0019,Clinic,Kajiado,Kitengela,Airtel Money,1531.64,9.26,Failed,False,0.169,high_velocity,2275,5,318381.16,318381.16,INV-21138,rules_engine_only
APY0000086,2026-01-28 16:42:42,ORG0177,WAL076,AGT0013,marketplace_agent,A2B,School fee payment,CP0257,Merchant,Kiambu,Thika,Stablecoin USDC,1029.33,5,Completed,False,0.284,none,97,3,68790.52,67756.19,INV-21253,rules_engine_only
APY0000087,2026-01-30 17:46:09,ORG0142,WAL023,AGT0219,marketplace_agent,A2B,Logistics delivery,CP0082,Contractor,Mombasa,Changamwe,M-Pesa Till,2401.14,32.54,Completed,False,0.107,none,1044,4,139085.97,136652.29,INV-34430,rules_engine_only
APY0000088,2026-06-13 15:25:01,ORG0153,WAL041,AGT0059,logistics_agent,A2B,School fee payment,CP0199,Consumer,Machakos,Athi River,M-Pesa PayBill,4153.37,58.3,Completed,False,0.177,none,945,4,248410.28,244198.61,INV-98288,rules_engine_only
APY0000089,2026-06-30 17:58:39,ORG0126,WAL022,AGT0162,farm_supply_agent,A2B,SME invoice settlement,CP0148,Agent Service,Kisumu,Maseno,M-Pesa B2C,2362.87,19.41,Failed,False,0.232,new_counterparty,782,5,64715.65,64715.65,INV-57059,rules_engine_only
APY0000090,2026-01-03 13:12:52,ORG0131,WAL071,AGT0138,farm_supply_agent,A2B,Tour booking,CP0058,School,Kiambu,Limuru,M-Pesa PayBill,7011.52,23.3,Completed,False,0.177,none,1481,3,233358.48,226323.66,INV-15453,apm-kenya-v2
APY0000091,2026-07-14 16:34:13,ORG0036,WAL079,AGT0106,farm_supply_agent,A2A,Logistics delivery,CP0402,Merchant,Kilifi,Malindi,M-Pesa PayBill,1029.62,9.29,Completed,False,0.404,none,1014,5,90581.67,89542.76,INV-46842,apm-kenya-v1
APY0000092,2026-06-02 13:20:45,ORG0126,WAL051,AGT0138,travel_agent,A2C,Construction contractor,CP0073,Agent Service,Mombasa,Changamwe,Stablecoin USDC,12066.02,175.81,Completed,False,0.098,none,34,4,235195.96,222954.13,INV-93050,rules_engine_only
APY0000093,2026-07-23 18:05:25,ORG0069,WAL064,AGT0173,finance_ops_agent,A2A,Clinic supplies,CP0166,School,Nakuru,Gilgil,M-Pesa Till,8554.11,133.06,Needs Human Approval,False,0.222,high_velocity,1680,2,333054.01,324366.84,INV-73614,apm-kenya-v1
APY0000094,2026-07-21 10:43:48,ORG0180,WAL040,AGT0047,travel_agent,A2A,Tour booking,CP0387,Merchant,Nairobi,Westlands,M-Pesa B2C,391.48,6.27,Completed,False,0.131,none,1417,1,101316.1,100918.35,INV-20215,rules_engine_only
APY0000095,2026-02-03 14:33:43,ORG0157,WAL002,AGT0180,travel_agent,A2A,SME invoice settlement,CP0333,Contractor,Kiambu,Thika,Stablecoin USDC,4304.86,34.99,Completed,False,0.452,kyb_pending,66,2,74005.45,69665.6,,rules_engine_only
APY0000096,2026-06-07 15:55:13,ORG0131,WAL078,AGT0152,travel_agent,A2B,SME invoice settlement,CP0097,Merchant,Nairobi,Westlands,M-Pesa Till,4451.51,14.9,Completed,False,0.249,none,452,2,301659.02,297192.61,INV-24777,rules_engine_only
APY0000097,2026-03-03 13:38:04,ORG0107,WAL065,AGT0043,travel_agent,A2C,Clinic supplies,CP0217,School,Nakuru,Naivasha,M-Pesa B2C,18537.64,239.64,Completed,False,0.218,none,744,5,283706.15,264928.87,INV-46368,rules_engine_only
APY0000098,2026-01-22 10:32:58,ORG0031,WAL023,AGT0006,property_manager_agent,A2B,School fee payment,CP0007,Agent Service,Nairobi,Kilimani,M-Pesa Till,7841.64,96.38,Completed,False,0.102,none,761,3,286081.24,278143.22,INV-43980,rules_engine_only
APY0000099,2026-02-12 11:47:49,ORG0041,WAL048,AGT0060,property_manager_agent,A2C,Property maintenance,CP0131,Sacco,Meru,Timau,M-Pesa PayBill,2462.72,15.29,Completed,False,0.25,none,1248,5,311598.29,309120.28,INV-11610,apm-kenya-v1
APY0000100,2026-03-04 05:23:24,ORG0080,WAL037,AGT0234,procurement_agent,A2C,Property maintenance,CP0168,Consumer,Nyeri,Nyeri Town,M-Pesa Till,2558.13,22.15,Needs Human Approval,True,0.294,limit_exceeded,848,2,43690.35,41110.07,INV-49834,apm-kenya-v2
